cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_slope_q1_F,le_raceadj_slope_q1_M,count_q1_F,count_q1_M
11302,Baltimore,2512431.0,24,Maryland,MD,0.050175199999999996,0.12151789999999998,1076217,993416
11304,Washington DC,4632415.0,11,District of Columbia,DC,0.11852439999999999,0.1727829,1761982,1752367
11600,Detroit,5327827.0,26,Michigan,MI,0.0525077,0.119939,2497223,2151639
12200,Grand Rapids,1286045.0,26,Michigan,MI,0.1216543,0.1183244,561222,524466
12501,Dayton,1179009.0,39,Ohio,OH,0.0689043,0.0799068,582226,531547
12701,Cincinnati,1954800.0,39,Ohio,OH,0.2144198,0.2719966,887372,841265
13101,Louisville,1100767.0,21,Kentucky,KY,0.1186139,0.2570515,594123,567949
13501,Toledo,834343.0,39,Ohio,OH,0.1546629,0.0327158,389280,338824
13600,South Bend,657906.0,18,Indiana,IN,0.1246649,0.058036199999999996,345218,304535
14200,Indianapolis,1507346.0,18,Indiana,IN,-0.0075211,0.22916460000000002,721734,658074
14900,Gary,675971.0,18,Indiana,IN,0.20837779999999997,0.23720439999999998,330194,252981
15000,Canton,700866.0,39,Ohio,OH,-0.051267499999999994,-0.0223598,401567,353408
15200,Cleveland,2661167.0,39,Ohio,OH,0.0636778,0.14154360000000002,1358591,1228103
15900,Columbus,1663807.0,39,Ohio,OH,0.1230305,0.1349003,779513,765297
16300,Pittsburgh,2561364.0,42,Pennsylvania,PA,-0.07342380000000001,-0.0141429,1202648,1123180
16400,Youngstown,809682.0,39,Ohio,OH,-0.004686699999999999,0.10724669999999999,463131,403822
16500,Erie,659098.0,42,Pennsylvania,PA,0.0547347,-0.1105556,351681,332617
17700,Syracuse,1080612.0,36,New York,NY,0.20825970000000002,0.28407790000000005,505463,491350
18000,Buffalo,2369699.0,36,New York,NY,0.0483932,0.17172779999999999,1080102,1001287
18600,Albany,1061509.0,36,New York,NY,0.14342860000000002,0.177393,462668,466011
18800,Scranton,857487.0,42,Pennsylvania,PA,0.316929,0.10150830000000001,461529,444351
19000,Allentown,637958.0,42,Pennsylvania,PA,0.37086379999999997,-0.0483198,301813,279632
19100,Reading,1114959.0,42,Pennsylvania,PA,0.06902639999999999,0.09635139999999999,495458,460288
19200,Harrisburg,1051424.0,42,Pennsylvania,PA,0.031604,0.060555399999999995,466765,442895
19300,Poughkeepsie,873232.0,36,New York,NY,0.0265945,0.2203996,369200,351430
19400,New York City,11800000.0,36,New York,NY,0.2018402,0.1897315,6612793,6308776
19500,Toms River,1126217.0,34,New Jersey,NJ,0.3046618,0.4506125,408364,366638
19600,Newark,5822286.0,34,New Jersey,NJ,0.025770099999999997,0.16835029999999998,2448746,2356452
19700,Philadelphia,5602247.0,42,Pennsylvania,PA,0.13840170000000002,0.0663205,2412405,2273525
20100,Portland,690459.0,23,Maine,ME,0.2967882,0.1045065,390002,372545
20401,Providence,1582997.0,44,Rhode Island,RI,0.2104531,0.07766110000000001,715277,651491
20500,Boston,4974945.0,25,Massachusetts,MA,0.23145549999999998,0.1538352,1827927,1771648
20600,Manchester,1193391.0,33,New Hampshire,NH,0.10909189999999999,0.1815851,515093,489970
20800,Springfield,680014.0,25,Massachusetts,MA,0.24938670000000002,0.2177601,304577,280785
20901,Bridgeport,3405565.0,9,Connecticut,CT,0.2320617,0.09197310000000002,1241192,1194223
21501,Minneapolis,2904389.0,27,Minnesota,MN,0.11251300000000002,0.0590572,911403,962562
23100,Madison,590755.0,55,Wisconsin,WI,0.30287309999999995,0.08053969999999999,206987,222795
24100,Milwaukee,1660659.0,55,Wisconsin,WI,0.0198641,0.0464735,650249,622276
24300,Chicago,8183799.0,17,Illinois,IL,0.12001150000000001,0.16251229999999997,3479341,3310876
24400,Rockford,622573.0,17,Illinois,IL,-0.030511400000000004,0.0874247,285096,258436
24701,St. Louis,2325609.0,29,Missouri,MO,0.06724989999999999,0.1811418,1089207,970550
27501,Des Moines,595842.0,19,Iowa,IA,-0.1851695,-0.0199923,220583,221172
28202,Omaha,803201.0,31,Nebraska,NE,-0.0024530999999999997,0.0797236,329397,327693
28900,Denver,2449044.0,8,Colorado,CO,0.1705411,0.0521487,990269,1078250
29502,Kansas City,1762873.0,29,Missouri,MO,0.0071217,0.11761869999999999,776136,735683
30402,Tulsa,921246.0,40,Oklahoma,OK,0.0216196,-0.0358915,521147,468167
30601,El Paso,857648.0,48,Texas,TX,0.0636581,-0.0906384,772758,692618
31201,Austin,1298076.0,48,Texas,TX,-0.0974201,0.0187923,620882,638838
31301,San Antonio,1724863.0,48,Texas,TX,0.16263160000000002,0.027769799999999997,1162189,1054712
31600,Brownsville,978369.0,48,Texas,TX,0.29486829999999997,-0.1652683,959218,857280
32000,Houston,4504013.0,48,Texas,TX,0.0895047,0.07014429999999999,2643625,2417313
33000,Fort Worth,1804370.0,48,Texas,TX,0.0687812,0.0400501,954528,887782
33100,Dallas,3405666.0,48,Texas,TX,0.1924543,0.0996366,1744141,1720582
33803,Oklahoma City,1154246.0,40,Oklahoma,OK,-0.09845219999999999,0.0323757,641714,583677
34701,Honolulu,876156.0,15,Hawaii,HI,0.3761036,0.0396958,389323,386222
34901,Albuquerque,755244.0,35,New Mexico,NM,-0.025586900000000003,-0.1286996,455262,432603
35001,Phoenix,3303211.0,4,Arizona,AZ,0.1538217,0.008366799999999999,1594573,1657903
35100,Tucson,999882.0,4,Arizona,AZ,-0.0663917,-0.0767409,604385,578283
36100,Salt Lake City,1426729.0,49,Utah,UT,0.1649921,0.12950899999999999,506057,511107
37000,Modesto,729182.0,6,California,CA,0.1463408,-0.0388569,416809,406723
37100,Bakersfield,661645.0,6,California,CA,-0.021059099999999997,-0.21564770000000003,399305,395438
37200,Fresno,1419998.0,6,California,CA,0.141954,0.1222759,831587,901944
37400,Sacramento,2570609.0,6,California,CA,0.20312149999999998,0.19664020000000001,1277959,1277976
37500,San Jose,2393183.0,6,California,CA,0.024389599999999997,0.1156089,905925,966830
37700,Santa Rosa,603188.0,6,California,CA,0.0997813,0.0542624,308832,298811
37800,San Francisco,4642561.0,6,California,CA,0.1100556,0.1716845,1867248,1934989
37901,Las Vegas,1568418.0,32,Nevada,NV,0.1306806,0.0184878,1018425,1118922
38000,San Diego,2813833.0,6,California,CA,0.1511652,0.0469843,1376176,1469130
38200,Santa Barbara,646028.0,6,California,CA,0.025600400000000002,-0.1063759,286954,296259
38300,Los Angeles,16400000.0,6,California,CA,0.13215439999999998,0.0560794,9223384,9229402
38601,Spokane,608317.0,53,Washington,WA,0.1336248,0.0243667,352538,335668
38801,Portland,1842889.0,41,Oregon,OR,0.12353389999999999,0.1690162,846755,859777
38901,Eugene,936387.0,41,Oregon,OR,0.0736038,-0.0040784,487070,473698
39400,Seattle,3775744.0,53,Washington,WA,0.21742129999999998,0.1299226,1508792,1492439
