cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_slope_q1_F,le_raceadj_slope_q2_F,le_raceadj_slope_q3_F,le_raceadj_slope_q4_F,le_raceadj_slope_q1_M,le_raceadj_slope_q2_M,le_raceadj_slope_q3_M,le_raceadj_slope_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
13600,South Bend,657906.0,18,Indiana,IN,0.1246649,-0.0925221,0.48865169999999997,0.3515603,0.058036199999999996,-0.0807817,0.1879277,0.2631362,345218,367376,397457,273344,304535,385091,394863,255727
14200,Indianapolis,1507346.0,18,Indiana,IN,-0.0075211,0.11399719999999999,0.3672638,0.1302492,0.22916460000000002,0.1394258,0.09942580000000001,0.1838585,721734,859285,947266,1014922,658074,779964,924266,991654
14900,Gary,675971.0,18,Indiana,IN,0.20837779999999997,0.2382908,0.1319119,0.3919018,0.23720439999999998,0.12849349999999998,-0.0021124000000000004,0.40203679999999997,330194,344265,443367,359320,252981,329804,468357,342510
15000,Canton,700866.0,39,Ohio,OH,-0.051267499999999994,0.22343490000000002,0.3330755,0.0092119,-0.0223598,0.0680427,0.5267276,0.3072406,401567,473543,422465,217805,353408,502147,409505,200645
15200,Cleveland,2661167.0,39,Ohio,OH,0.0636778,0.1414908,0.36376390000000003,0.339508,0.14154360000000002,0.2275811,0.34942449999999997,0.3238499,1358591,1652473,1551865,1254784,1228103,1513667,1484002,1196345
15900,Columbus,1663807.0,39,Ohio,OH,0.1230305,0.2655635,0.3966453,0.23428600000000002,0.1349003,0.1945925,0.18115710000000002,0.215146,779513,1049924,1031954,922150,765297,951481,978977,906321
16300,Pittsburgh,2561364.0,42,Pennsylvania,PA,-0.07342380000000001,0.2696086,0.31185419999999997,0.1256872,-0.0141429,0.16015520000000003,0.30095759999999994,0.2929947,1202648,1464763,1633194,1342275,1123180,1434988,1563858,1263723
16400,Youngstown,809682.0,39,Ohio,OH,-0.004686699999999999,0.0966598,0.23279270000000002,0.6703041999999999,0.10724669999999999,0.12019749999999998,0.2042713,0.0938355,463131,512998,475817,247423,403822,527600,461303,225778
16500,Erie,659098.0,42,Pennsylvania,PA,0.0547347,0.015261799999999999,0.2598096,-0.2667953,-0.1105556,-0.0175257,0.10669780000000001,0.2612182,351681,389725,400907,207193,332617,422286,387411,187737
17700,Syracuse,1080612.0,36,New York,NY,0.20825970000000002,0.433353,0.1310611,0.053217499999999994,0.28407790000000005,0.1521951,0.1012296,0.198257,505463,611068,655416,506241,491350,596360,633882,477950
18000,Buffalo,2369699.0,36,New York,NY,0.0483932,0.2471484,0.21584770000000003,0.3508809,0.17172779999999999,0.1629249,0.2231393,0.40564340000000004,1080102,1305631,1497550,1229178,1001287,1244809,1454968,1152176
18600,Albany,1061509.0,36,New York,NY,0.14342860000000002,0.1324804,0.2381355,0.3316962,0.177393,0.15400239999999998,0.1610169,0.3028376,462668,605402,688887,671128,466011,570106,671121,633662
18800,Scranton,857487.0,42,Pennsylvania,PA,0.316929,0.1831325,0.177816,0.2272379,0.10150830000000001,0.0207896,0.176378,0.13228199999999998,461529,525141,572631,369696,444351,559568,556549,347404
19000,Allentown,637958.0,42,Pennsylvania,PA,0.37086379999999997,0.35388990000000003,0.0661787,0.0142563,-0.0483198,-0.0174044,-0.0207334,0.1022247,301813,381078,460256,413032,279632,394338,453849,396654
19100,Reading,1114959.0,42,Pennsylvania,PA,0.06902639999999999,0.1437018,0.24001309999999998,0.383327,0.09635139999999999,0.1110649,0.0130291,0.0605391,495458,659665,815284,569422,460288,714699,806814,534730
19200,Harrisburg,1051424.0,42,Pennsylvania,PA,0.031604,0.3082114,0.1674388,0.1050943,0.060555399999999995,0.1098768,0.179225,0.1019181,466765,665035,824898,626949,442895,687981,810658,585702
19300,Poughkeepsie,873232.0,36,New York,NY,0.0265945,0.1561635,0.37854970000000004,0.519783,0.2203996,0.1825501,0.1201194,0.3528395,369200,442298,547783,651132,351430,414575,545282,638466
19400,New York City,11800000.0,36,New York,NY,0.2018402,0.1366925,0.2864446,0.1637172,0.1897315,0.17526960000000003,0.17027720000000002,0.11563010000000001,6612793,5630847,4709702,6413203,6308776,4837507,4328799,6254430
19500,Toms River,1126217.0,34,New Jersey,NJ,0.3046618,0.051955799999999996,0.5654107,0.3959236,0.4506125,0.1838825,0.2673551,0.052930899999999996,408364,511672,696184,1113792,366638,449423,662219,1087148
19600,Newark,5822286.0,34,New Jersey,NJ,0.025770099999999997,0.1637095,0.2878139,0.2106451,0.16835029999999998,0.19132420000000003,0.12141510000000001,0.1962352,2448746,2653991,2931033,5051641,2356452,2445806,2725346,4968242
19700,Philadelphia,5602247.0,42,Pennsylvania,PA,0.13840170000000002,0.2601304,0.2050873,0.236062,0.0663205,0.11089210000000001,0.2010648,0.22385189999999996,2412405,2912742,3112583,3989331,2273525,2541922,2912058,3831189
20100,Portland,690459.0,23,Maine,ME,0.2967882,0.3066001,0.1604547,0.449672,0.1045065,0.15100639999999999,0.0482577,0.32429009999999997,390002,464499,475355,329049,372545,456967,448691,303534
20401,Providence,1582997.0,44,Rhode Island,RI,0.2104531,0.133418,0.1527828,0.325171,0.07766110000000001,0.2599435,0.1812692,0.1662025,715277,845164,971966,950486,651491,817530,934320,910626
20500,Boston,4974945.0,25,Massachusetts,MA,0.23145549999999998,0.32852800000000004,0.2585246,0.2588609,0.1538352,0.2285756,0.178201,0.2260189,1827927,2328458,2807950,4231746,1771648,2160242,2632419,4095060
20600,Manchester,1193391.0,33,New Hampshire,NH,0.10909189999999999,0.1498615,0.182265,0.4129317,0.1815851,0.22343020000000002,0.215421,0.3161781,515093,725995,893840,943322,489970,712232,892865,926377
20800,Springfield,680014.0,25,Massachusetts,MA,0.24938670000000002,0.24744829999999998,0.6163364,0.3734131,0.2177601,0.15278139999999998,0.47260979999999997,-0.1428535,304577,379641,427981,358312,280785,363943,411026,328353
20901,Bridgeport,3405565.0,9,Connecticut,CT,0.2320617,0.24505239999999998,0.4007327,0.178328,0.09197310000000002,0.1763025,0.2207141,0.16430379999999997,1241192,1637115,2057702,3020021,1194223,1502402,1948420,2891359
21501,Minneapolis,2904389.0,27,Minnesota,MN,0.11251300000000002,0.2692692,0.34883159999999996,0.12036580000000001,0.0590572,0.1486701,0.3552936,0.0485872,911403,1468516,1949352,2469811,962562,1387091,1917148,2403472
23100,Madison,590755.0,55,Wisconsin,WI,0.30287309999999995,0.1158132,0.34351190000000004,0.0416209,0.08053969999999999,0.2503742,0.1892743,0.20362560000000002,206987,326849,433033,426150,222795,319771,421977,402726
24100,Milwaukee,1660659.0,55,Wisconsin,WI,0.0198641,0.1718801,0.23773850000000002,0.23025029999999996,0.0464735,0.2827783,0.14878929999999999,0.37813209999999997,650249,844068,1093202,1065742,622276,811642,1069264,1014457
24300,Chicago,8183799.0,17,Illinois,IL,0.12001150000000001,0.2890741,0.1323218,0.4004184,0.16251229999999997,0.23647529999999997,0.17608139999999997,0.2665356,3479341,3854772,4173047,5529194,3310876,3461539,3986544,5380273
24400,Rockford,622573.0,17,Illinois,IL,-0.030511400000000004,0.28488109999999994,0.12644539999999999,-0.1257297,0.0874247,0.1862508,0.1350752,0.0590918,285096,348178,429386,310063,258436,362902,436155,291015
24701,St. Louis,2325609.0,29,Missouri,MO,0.06724989999999999,0.1006007,0.2575458,0.3972589,0.1811418,0.21666679999999996,0.2875116,0.25151860000000004,1089207,1266842,1398911,1508740,970550,1110096,1360244,1443369
27501,Des Moines,595842.0,19,Iowa,IA,-0.1851695,0.4154738,0.3400328,0.3383778,-0.0199923,-0.0019844000000000003,-0.0419211,0.28098029999999996,220583,328032,405160,402397,221172,310086,393440,385040
28202,Omaha,803201.0,31,Nebraska,NE,-0.0024530999999999997,0.1875966,0.3296362,0.2100428,0.0797236,0.1160539,0.21895540000000002,0.32390399999999997,329397,444882,532089,502505,327693,431762,520988,478776
28900,Denver,2449044.0,8,Colorado,CO,0.1705411,-0.0952775,0.1667589,0.1661529,0.0521487,0.0425645,0.1599745,0.0807945,990269,1309695,1474387,1966096,1078250,1233735,1420411,1940550
29502,Kansas City,1762873.0,29,Missouri,MO,0.0071217,0.09708760000000001,0.3092312,0.1916503,0.11761869999999999,0.0007625,0.0471635,0.3412393,776136,1002043,1121313,1174194,735683,884837,1088447,1127988
30402,Tulsa,921246.0,40,Oklahoma,OK,0.0216196,0.19583470000000003,0.10439160000000001,0.1306097,-0.0358915,-0.0040684,0.07623510000000001,0.0579408,521147,531248,503467,429893,468167,502607,501433,409956
30601,El Paso,857648.0,48,Texas,TX,0.0636581,0.2738477,0.44237489999999996,0.7281536999999999,-0.0906384,0.23191479999999998,0.3894086,0.2348834,772758,448158,300045,210197,692618,436415,293309,199349
31201,Austin,1298076.0,48,Texas,TX,-0.0974201,0.044545999999999995,0.21508470000000002,0.1289806,0.0187923,0.1975219,0.1356084,0.1271921,620882,759515,741131,948705,638838,700339,735320,970064
31301,San Antonio,1724863.0,48,Texas,TX,0.16263160000000002,0.039456,0.2619001,0.3305248,0.027769799999999997,0.2371488,0.398302,0.1242951,1162189,1012364,890356,827984,1054712,954956,847025,786511
31600,Brownsville,978369.0,48,Texas,TX,0.29486829999999997,0.4451463,0.19358699999999998,0.07364960000000001,-0.1652683,0.1878321,-0.2215178,0.19155329999999998,959218,406262,226792,158519,857280,392798,220978,155160
32000,Houston,4504013.0,48,Texas,TX,0.0895047,0.1826845,0.2853485,0.0981864,0.07014429999999999,0.051975,0.0608558,0.1544639,2643625,2442658,2125901,2993858,2417313,2311747,2136352,3068178
33000,Fort Worth,1804370.0,48,Texas,TX,0.0687812,0.10983050000000001,0.026144599999999997,0.2777257,0.0400501,0.0917327,0.1666209,0.29475759999999995,954528,1030168,1013219,1147705,887782,976381,1022316,1131621
33100,Dallas,3405666.0,48,Texas,TX,0.1924543,0.1617095,0.1938969,0.24009429999999998,0.0996366,0.21793249999999997,0.23476570000000002,0.164821,1744141,1902203,1739356,2370779,1720582,1735289,1684119,2420317
33803,Oklahoma City,1154246.0,40,Oklahoma,OK,-0.09845219999999999,0.1704487,0.4081775,-0.0343886,0.0323757,-0.15901099999999999,0.3037651,0.4381834,641714,661134,623284,525715,583677,616917,603063,493639
34701,Honolulu,876156.0,15,Hawaii,HI,0.3761036,0.3486028,0.5767751,0.079092,0.0396958,0.1176419,0.2942494,-0.030048500000000002,389323,480717,493237,503657,386222,461354,514000,479830
34901,Albuquerque,755244.0,35,New Mexico,NM,-0.025586900000000003,0.4828191,0.17541489999999998,0.0258466,-0.1286996,0.08795449999999999,0.16125,0.21775160000000002,455262,472582,417683,384858,432603,413797,395935,361807
35001,Phoenix,3303211.0,4,Arizona,AZ,0.1538217,0.1441432,0.21687670000000003,0.2429277,0.008366799999999999,0.0939363,0.2284152,0.23211439999999997,1594573,1850081,1757757,1856750,1657903,1708221,1684068,1821727
35100,Tucson,999882.0,4,Arizona,AZ,-0.0663917,0.027337,0.2972598,0.219969,-0.0767409,0.051895500000000004,0.09697130000000001,0.1018465,604385,568974,505556,447766,578283,517852,475977,409636
36100,Salt Lake City,1426729.0,49,Utah,UT,0.1649921,0.1120388,0.1776225,0.0682281,0.12950899999999999,0.1258184,0.056486800000000004,-0.044699800000000005,506057,660391,837529,769806,511107,673955,855827,744838
37000,Modesto,729182.0,6,California,CA,0.1463408,0.0144636,0.2441797,0.18603150000000002,-0.0388569,0.1281396,0.10722670000000001,0.046383999999999995,416809,385989,359795,264600,406723,403874,355514,248070
37100,Bakersfield,661645.0,6,California,CA,-0.021059099999999997,-0.06500800000000001,0.41188100000000005,-0.0789756,-0.21564770000000003,0.269516,0.2575647,-0.179628,399305,307967,288764,265928,395438,316067,299975,257697
37200,Fresno,1419998.0,6,California,CA,0.141954,0.21730970000000002,0.25447,0.0642396,0.1222759,0.06452519999999999,-0.036032999999999996,0.21913229999999997,831587,672764,564756,465525,901944,677677,533888,430904
37400,Sacramento,2570609.0,6,California,CA,0.20312149999999998,0.07323500000000001,0.3622777,0.22350460000000003,0.19664020000000001,0.25515509999999997,0.20614570000000004,0.1987767,1277959,1421398,1530394,1660979,1277976,1305898,1434936,1581224
37500,San Jose,2393183.0,6,California,CA,0.024389599999999997,0.308489,0.11225,0.01805,0.1156089,0.10403989999999999,0.15764679999999998,0.248466,905925,943476,1040064,1966751,966830,943993,1000019,2076406
37700,Santa Rosa,603188.0,6,California,CA,0.0997813,0.2308572,0.47873000000000004,0.056785300000000004,0.0542624,0.17117279999999999,-0.0464059,0.004398399999999999,308832,330551,343817,374950,298811,302319,316562,347844
37800,San Francisco,4642561.0,6,California,CA,0.1100556,0.2496016,0.3705185,0.21482129999999997,0.1716845,0.2287762,0.1585214,0.2985409,1867248,2096904,2375574,3969268,1934989,1973455,2208857,3953053
37901,Las Vegas,1568418.0,32,Nevada,NV,0.1306806,0.0498715,0.0393384,0.4194241,0.0184878,0.27168000000000003,0.19719489999999998,0.1276738,1018425,1093640,911163,768349,1118922,1082786,915874,759220
38000,San Diego,2813833.0,6,California,CA,0.1511652,0.1230363,0.262479,0.3808652,0.0469843,0.26555,0.061465399999999996,0.2008147,1376176,1355484,1372598,1788096,1469130,1352937,1348490,1781131
38200,Santa Barbara,646028.0,6,California,CA,0.025600400000000002,0.1946896,0.5087438,0.1741326,-0.1063759,0.4253111,0.32199659999999997,0.23998409999999998,286954,307375,317614,369717,296259,295012,303641,343661
38300,Los Angeles,16400000.0,6,California,CA,0.13215439999999998,0.2974795,0.164168,0.2690369,0.0560794,0.28362719999999997,0.1779551,0.1766676,9223384,7803161,7100571,8353736,9229402,7548454,6791909,8287493
38601,Spokane,608317.0,53,Washington,WA,0.1336248,0.1501202,0.15428789999999998,0.114925,0.0243667,-0.3046629,0.26085,0.3410015,352538,394992,398491,280704,335668,391622,379203,260848
38801,Portland,1842889.0,41,Oregon,OR,0.12353389999999999,0.30811890000000003,0.43614929999999996,0.3730299,0.1690162,0.12932169999999998,0.3726006,0.18786470000000002,846755,1050710,1200977,1232609,859777,1032470,1175266,1200378
38901,Eugene,936387.0,41,Oregon,OR,0.0736038,0.2199199,0.37377940000000004,0.099384,-0.0040784,0.1398536,0.30528740000000004,0.2015658,487070,546051,575171,403245,473698,540855,545148,363271
39400,Seattle,3775744.0,53,Washington,WA,0.21742129999999998,0.08155939999999999,0.34072990000000003,0.2221962,0.1299226,0.0612674,0.12863650000000001,0.1216885,1508792,2040028,2494243,2918767,1492439,1977692,2518317,2866836
